DateTimeOfCall,HourlyNotionalCost,IncidentNotionalCost,AnimalGroupParent,PropertyCategory,SpecialServiceTypeCategory,SpecialServiceType,Area
05/04/2011 19:37,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dalkey
06/04/2011 02:03,260,2340,Horse,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Milltown
06/04/2011 10:39,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
06/04/2011 18:50,260,260,Cat,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
07/04/2011 17:30,260,260,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
07/04/2011 19:59,260,260,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Milltown
08/04/2011 11:30,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
09/04/2011 20:58,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Leopardstown
10/04/2011 09:33,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
10/04/2011 17:05,260,260,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Perrystown
11/04/2011 09:23,260,520,Unknown - Domestic Animal Or Pet,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Drumcondra
11/04/2011 13:35,260,260,Unknown - Domestic Animal Or Pet,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Killester
11/04/2011 17:39,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
12/04/2011 12:59,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Belfield
12/04/2011 17:06,260,260,Cat,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Drumcondra
12/04/2011 18:55,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Ballyfermot
14/04/2011 12:00,260,260,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Dundrum
15/04/2011 16:18,260,260,Fox,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Smithfield
15/04/2011 16:38,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Portobello
16/04/2011 19:57,260,260,Cat,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
17/04/2011 01:16,260,260,Dog,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Walkinstown
17/04/2011 10:07,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Milltown
17/04/2011 17:35,260,520,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
18/04/2011 11:18,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
19/04/2011 09:44,260,260,Cat,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Blackrock
19/04/2011 11:59,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Templeogue
19/04/2011 17:08,260,260,Cat,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Blackrock
19/04/2011 19:59,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Smithfield
19/04/2011 20:42,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Clontarf
19/04/2011 21:42,260,260,Cat,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
19/04/2011 22:29,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Santry
20/04/2011 13:59,260,260,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Ballyfermot
20/04/2011 22:47,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
21/04/2011 16:49,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Belfield
22/04/2011 11:59,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dun laoighre
22/04/2011 13:23,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
22/04/2011 13:36,260,260,Cat,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
22/04/2011 14:12,260,520,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
22/04/2011 14:50,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
22/04/2011 14:50,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Santry
22/04/2011 18:29,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Stepaside
23/04/2011 11:03,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
23/04/2011 16:09,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Terenure
23/04/2011 17:11,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
24/04/2011 17:36,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Cabra
25/04/2011 16:55,260,520,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
26/04/2011 07:40,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Clonsilla
26/04/2011 19:33,260,260,Bird,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Ballyfermot
27/04/2011 12:11,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Rathfarnham
28/04/2011 11:41,260,520,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Blackrock
28/04/2011 19:05,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
28/04/2011 22:59,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Stepaside
29/04/2011 14:46,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
29/04/2011 18:07,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
29/04/2011 21:06,260,780,Dog,Outdoor Structure,Animal rescue from below ground,Wild animal rescue from below ground,Templeogue
30/04/2011 08:59,260,260,Deer,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
30/04/2011 11:33,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Clontarf
30/04/2011 16:01,260,520,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Sutton
30/04/2011 18:30,260,260,Cat,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Temple Bar
01/05/2011 11:00,260,260,Fox,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
01/05/2011 12:37,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Glasnevin
01/05/2011 15:36,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
01/05/2011 16:11,260,260,Dog,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
02/05/2011 17:15,260,260,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Santry
02/05/2011 22:21,260,1040,Deer,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Temple Bar
03/05/2011 19:21,260,260,Cat,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
03/05/2011 21:08,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Ballymun
04/05/2011 13:40,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dun laoighre
05/05/2011 12:57,260,260,Bird,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Clontarf
05/05/2011 13:17,260,260,Unknown - Domestic Animal Or Pet,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Santry
05/05/2011 18:00,260,1040,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
05/05/2011 18:02,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Glasnevin
06/05/2011 14:02,260,260,Fox,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Rathfarnham
06/05/2011 19:01,260,520,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Donnybrook
06/05/2011 21:33,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Clonsilla
07/05/2011 19:09,260,260,Unknown - Heavy Livestock Animal,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Clonsilla
07/05/2011 21:25,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Walkinstown
09/05/2011 06:30,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Cabra
09/05/2011 08:41,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
09/05/2011 16:43,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Perrystown
09/05/2011 23:17,260,260,Cat,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Walkinstown
10/05/2011 15:23,260,260,Cat,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Donnybrook
11/05/2011 08:06,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
11/05/2011 11:35,260,260,Bird,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Bird,Ranelagh
11/05/2011 13:13,260,260,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
11/05/2011 20:54,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Templeogue
11/05/2011 22:37,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Leopardstown
12/05/2011 09:56,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
12/05/2011 21:55,260,520,Cat,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Cabra
13/05/2011 12:45,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
13/05/2011 12:46,260,260,Squirrel,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
13/05/2011 18:50,260,260,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Harolds Cross
14/05/2011 01:18,260,260,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Clontarf
14/05/2011 11:14,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Harolds Cross
14/05/2011 12:27,260,260,Unknown - Heavy Livestock Animal,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
14/05/2011 19:57,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Dun laoighre
14/05/2011 23:29,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Clonsilla
15/05/2011 09:50,260,260,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Donnybrook
15/05/2011 11:41,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
15/05/2011 14:30,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
15/05/2011 14:45,260,260,Cat,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Stepaside
15/05/2011 19:58,260,260,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
17/05/2011 09:16,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
17/05/2011 09:45,260,520,Cat,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Ballyfermot
17/05/2011 12:22,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Clontarf
17/05/2011 16:45,260,260,Dog,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Blackrock
17/05/2011 22:12,260,NULL,Unknown - Heavy Livestock Animal,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Donnybrook
19/05/2011 22:03,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Drumcondra
21/05/2011 12:17,260,260,Cat,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Harolds Cross
21/05/2011 23:20,260,260,Dog,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
22/05/2011 15:53,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
22/05/2011 20:46,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Templeogue
23/05/2011 10:47,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Rathmines
24/05/2011 18:13,260,520,Cat,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Donnybrook
25/05/2011 09:30,260,520,Deer,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
25/05/2011 19:30,260,260,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Tallaght
25/05/2011 23:59,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
26/05/2011 12:19,260,780,Horse,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Milltown
26/05/2011 21:30,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Smithfield
27/05/2011 06:50,260,2340,Horse,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Milltown
27/05/2011 16:28,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Killester
28/05/2011 10:50,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Portobello
28/05/2011 13:39,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Rathfarnham
28/05/2011 23:33,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
29/05/2011 10:24,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
29/05/2011 14:28,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Dalkey
30/05/2011 13:22,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Harolds Cross
31/05/2011 08:46,260,NULL,Bird,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Bird,Stepaside
31/05/2011 10:52,260,260,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Crumlin
01/06/2011 07:56,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
01/06/2011 09:33,260,260,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Clonsilla
01/06/2011 19:07,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathmines
02/06/2011 11:33,260,260,Bird,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Bird,Ballymun
03/06/2011 19:19,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
03/06/2011 19:47,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Santry
04/06/2011 10:44,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dundrum
04/06/2011 13:38,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
04/06/2011 19:15,260,260,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Templeogue
06/06/2011 19:30,260,520,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Temple Bar
08/06/2011 11:05,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
09/06/2011 16:54,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
09/06/2011 18:52,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Blackrock
09/06/2011 21:41,260,260,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
10/06/2011 07:01,260,1040,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Temple Bar
10/06/2011 11:26,260,780,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Harolds Cross
10/06/2011 19:06,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Ballyfermot
11/06/2011 10:54,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Belfield
12/06/2011 07:34,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
13/06/2011 11:38,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
14/06/2011 00:35,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Drumcondra
14/06/2011 14:42,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dundrum
14/06/2011 15:30,260,520,Dog,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
14/06/2011 16:16,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dun laoighre
14/06/2011 20:01,260,260,Squirrel,Dwelling,Animal rescue from height,Wild animal rescue from height,Rathfarnham
14/06/2011 22:01,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
15/06/2011 23:26,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Temple Bar
16/06/2011 09:33,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Killester
16/06/2011 17:17,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Donnybrook
17/06/2011 23:15,260,260,Cat,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Walkinstown
18/06/2011 00:02,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Donnybrook
18/06/2011 01:03,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
18/06/2011 08:45,260,260,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Sutton
18/06/2011 12:16,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Ballymun
18/06/2011 16:58,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Belfield
19/06/2011 11:56,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Killester
19/06/2011 16:55,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
19/06/2011 21:13,260,260,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Walkinstown
20/06/2011 05:02,260,260,Ferret,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Portobello
21/06/2011 01:06,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Dun laoighre
22/06/2011 00:32,260,260,Fox,Dwelling,Animal rescue from below ground,Wild animal rescue from below ground,Rathmines
22/06/2011 16:37,260,260,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Smithfield
22/06/2011 18:50,260,260,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Harolds Cross
22/06/2011 20:42,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Rathfarnham
22/06/2011 21:26,260,260,Cat,Other Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
24/06/2011 13:23,260,1040,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Templeogue
24/06/2011 13:24,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
24/06/2011 13:33,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
25/06/2011 07:38,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
25/06/2011 12:27,260,520,Deer,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Stepaside
25/06/2011 14:08,260,260,Unknown - Heavy Livestock Animal,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Tallaght
25/06/2011 15:12,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
26/06/2011 23:22,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Leopardstown
27/06/2011 17:57,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Harolds Cross
27/06/2011 23:22,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Belfield
28/06/2011 10:41,260,260,Fox,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Sutton
28/06/2011 17:52,260,520,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
28/06/2011 21:25,260,260,Bird,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Bird,Perrystown
29/06/2011 09:20,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Donnybrook
29/06/2011 13:09,260,260,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Drumcondra
29/06/2011 21:04,260,2340,Deer,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Stepaside
30/06/2011 16:02,260,260,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
01/07/2011 17:54,260,260,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Rathmines
02/07/2011 06:00,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathfarnham
02/07/2011 09:13,260,260,Dog,Other Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
02/07/2011 11:29,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Harolds Cross
03/07/2011 09:54,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Belfield
03/07/2011 11:46,260,520,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
03/07/2011 15:03,260,260,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Tallaght
03/07/2011 20:19,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
03/07/2011 21:13,260,260,Bird,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Stepaside
04/07/2011 10:22,260,260,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Temple Bar
04/07/2011 14:38,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
05/07/2011 15:33,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
05/07/2011 21:51,260,520,Bird,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Harolds Cross
06/07/2011 08:02,260,520,Horse,Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,Belfield
06/07/2011 08:37,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
06/07/2011 09:14,260,260,Bird,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Bird,Harolds Cross
06/07/2011 15:19,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Leopardstown
06/07/2011 16:20,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Rathfarnham
06/07/2011 21:19,260,260,Dog,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
07/07/2011 00:30,260,520,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Portobello
07/07/2011 08:36,260,260,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Killester
07/07/2011 11:57,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Clontarf
07/07/2011 19:59,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Ranelagh
08/07/2011 10:40,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Blackrock
08/07/2011 17:58,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
08/07/2011 21:31,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Milltown
09/07/2011 10:05,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dun laoighre
09/07/2011 21:39,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Santry
10/07/2011 02:13,260,260,Fox,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Portobello
10/07/2011 08:52,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Killester
10/07/2011 11:33,260,260,Horse,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
10/07/2011 13:56,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Walkinstown
10/07/2011 16:38,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Harolds Cross
10/07/2011 20:11,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Walkinstown
10/07/2011 20:12,260,780,Horse,Outdoor Structure,Animal rescue from water,Animal rescue from water - Farm animal,Temple Bar
10/07/2011 22:16,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
11/07/2011 09:09,260,260,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Milltown
11/07/2011 13:23,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Killester
13/07/2011 12:08,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Smithfield
13/07/2011 12:55,260,260,Fox,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
13/07/2011 15:13,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
14/07/2011 22:22,260,260,Cat,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Clontarf
15/07/2011 11:51,260,780,Horse,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Milltown
15/07/2011 14:33,260,260,Fox,Non Residential,Animal rescue from below ground,Wild animal rescue from below ground,Stepaside
15/07/2011 20:58,260,260,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Blackrock
15/07/2011 21:02,260,260,Fox,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
16/07/2011 12:29,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
16/07/2011 20:02,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
16/07/2011 20:29,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
17/07/2011 09:44,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
17/07/2011 20:39,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Glasnevin
18/07/2011 17:25,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
19/07/2011 11:04,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Belfield
19/07/2011 17:26,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Leopardstown
19/07/2011 18:47,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
